INFO   | jvm 1    | 2026.02.27 05:55:12 | Integration Server (IS) started in 479416 ms, system is ready...
INFO   | jvm 1    | 2026.02.27 05:55:12 | --------------------------------------------------------------------------
INFO   | jvm 1    | 2026.02.27 06:00:01 | *** Running in 'Emergency Halt' mode by user hama11...
INFO   | jvm 1    | 2026.02.27 06:01:30 | *** 'Emergency Halt' mode released by user hama11
INFO   | jvm 1    | 2026.02.27 06:01:39 | Stopping CertificateExchangeService ... done
INFO   | jvm 1    | 2026.02.27 06:01:39 | Stopping SshService ... done
INFO   | jvm 1    | 2026.02.27 06:01:39 | Stopping SmtpService ... done
INFO   | jvm 1    | 2026.02.27 06:01:39 | Stopping SapConnectionService ... 
INFO   | jvm 1    | 2026.02.27 06:01:39 | done
INFO   | jvm 1    | 2026.02.27 06:01:39 | Stopping AS2Service ... done
INFO   | jvm 1    | 2026.02.27 06:01:39 | Stopping OftpService ... done
INFO   | jvm 1    | 2026.02.27 06:01:39 | Stopping FtpService ... done
INFO   | jvm 1    | 2026.02.27 06:01:39 | Stopping StartupService ... 
INFO   | jvm 1    | 2026.02.27 06:01:44 |  *** Force stop file found or force stop signal received - skipping wait for running jobs *** - 
INFO   | jvm 1    | 2026.02.27 06:01:47 | *** Lobster_data: waiting another 10s to finish log entries due to 'force stop' or 'emergency halt' mode...
INFO   | jvm 1    | 2026.02.27 06:01:57 | done
INFO   | jvm 1    | 2026.02.27 06:01:58 | Stopping AdminService ... done
INFO   | jvm 1    | 2026.02.27 06:01:58 | Stopping TimeService ... done
INFO   | jvm 1    | 2026.02.27 06:01:58 | Stopping InterchangeService ... done
INFO   | jvm 1    | 2026.02.27 06:01:58 | Stopping CronJobService ... done
INFO   | jvm 1    | 2026.02.27 06:01:58 | Stopping CommunicationLogService ... done
INFO   | jvm 1    | 2026.02.27 06:01:58 | Stopping AuthenticationService ... done
INFO   | jvm 1    | 2026.02.27 06:01:58 | Stopping StorageService ... done
INFO   | jvm 1    | 2026.02.27 06:01:58 | Stopping DatabaseService ... done
INFO   | jvm 1    | 2026.02.27 06:01:58 | Stopping LogService ... 
INFO   | jvm 1    | 2026.02.27 06:01:58 | FileLogManager(internal, without active stream 0): 06:01:58 NORMAL   SYSTEM:LOG:LOGSERVICE:FILELOGMANAGER[kafkalog] stopped
INFO   | jvm 1    | 2026.02.27 06:01:58 | FileLogManager(internal, without active stream 0): 06:01:58 NORMAL   SYSTEM:LOG:LOGSERVICE:FILELOGMANAGER[transportmanagerlog] stopped
INFO   | jvm 1    | 2026.02.27 06:01:59 | done
INFO   | jvm 1    | 2026.02.27 06:02:00 | Mon Feb 16 06:02:00 CET 2026, server process STOPPED
INFO   | jvm 1    | 2026.02.27 06:02:00 | Temp. directoy cleaned up
STATUS | wrapper  | 2026.02.27 06:02:01 | <-- Wrapper Stopped

