INFO   | jvm 1    | 2026.02.27 08:33:26 | Integration Server (IS) started in 479416 ms, system is ready...
INFO   | jvm 1    | 2026.02.27 08:33:26 | --------------------------------------------------------------------------
INFO   | jvm 1    | 2026.02.27 08:36:34 | *** Running in 'Emergency Halt' mode by user hama11...
INFO   | jvm 1    | 2026.02.27 08:38:15 | *** 'Emergency Halt' mode released by user hama11
INFO   | jvm 1    | 2026.02.27 08:39:50 | 	at org.eclipse.jetty.server.handler.ScopedHandler.handle(ScopedHandler.java:131)
INFO   | jvm 1    | 2026.02.27 08:39:50 | 	at org.eclipse.jetty.security.SecurityHandler.handle(SecurityHandler.java:598)
INFO   | jvm 1    | 2026.02.27 08:39:50 | 	at org.eclipse.jetty.server.handler.HandlerWrapper.handle(HandlerWrapper.java:122)
INFO   | jvm 1    | 2026.02.27 08:39:50 | 	at org.eclipse.jetty.server.handler.ScopedHandler.nextHandle(ScopedHandler.java:223)
INFO   | jvm 1    | 2026.02.27 08:39:50 | 	at org.eclipse.jetty.server.HttpChannel.handle(HttpChannel.java:501)
INFO   | jvm 1    | 2026.02.27 08:39:50 | 	at org.eclipse.jetty.server.HttpConnection.onFillable(HttpConnection.java:287)
INFO   | jvm 1    | 2026.02.27 08:39:50 | 	at org.eclipse.jetty.util.thread.QueuedThreadPool$Runner.run(QueuedThreadPool.java:1149)
INFO   | jvm 1    | 2026.02.27 08:39:50 | 	at java.base/java.lang.Thread.run(Thread.java:829)
INFO   | jvm 1    | 2026.02.27 08:39:53 | Stopping CertificateExchangeService ... done
INFO   | jvm 1    | 2026.02.27 08:39:53 | Stopping SshService ... done
INFO   | jvm 1    | 2026.02.27 08:39:53 | Stopping SmtpService ... done
INFO   | jvm 1    | 2026.02.27 08:39:53 | Stopping SapConnectionService ... 
INFO   | jvm 1    | 2026.02.27 08:39:53 | done
INFO   | jvm 1    | 2026.02.27 08:39:53 | Stopping AS2Service ... done
INFO   | jvm 1    | 2026.02.27 08:39:53 | Stopping OftpService ... done
INFO   | jvm 1    | 2026.02.27 08:39:53 | Stopping FtpService ... done
INFO   | jvm 1    | 2026.02.27 08:39:53 | Stopping StartupService ... 
INFO   | jvm 1    | 2026.02.27 08:39:58 |  *** Force stop file found or force stop signal received - skipping wait for running jobs *** - 
INFO   | jvm 1    | 2026.02.27 08:40:01 | *** Lobster_data: waiting another 10s to finish log entries due to 'force stop' or 'emergency halt' mode...
INFO   | jvm 1    | 2026.02.27 08:40:11 | done
INFO   | jvm 1    | 2026.02.27 08:40:12 | Stopping AdminService ... done
INFO   | jvm 1    | 2026.02.27 08:40:12 | Stopping TimeService ... done
INFO   | jvm 1    | 2026.02.27 08:40:12 | Stopping InterchangeService ... done
INFO   | jvm 1    | 2026.02.27 08:40:12 | Stopping CronJobService ... done
INFO   | jvm 1    | 2026.02.27 08:40:12 | Stopping CommunicationLogService ... done
INFO   | jvm 1    | 2026.02.27 08:40:12 | Stopping AuthenticationService ... done
INFO   | jvm 1    | 2026.02.27 08:40:12 | Stopping StorageService ... done
INFO   | jvm 1    | 2026.02.27 08:40:12 | Stopping MessageService ... done
INFO   | jvm 1    | 2026.02.27 08:40:12 | Stopping TimerService ... done
INFO   | jvm 1    | 2026.02.27 08:40:12 | Stopping CounterService ... done
INFO   | jvm 1    | 2026.02.27 08:40:12 | Stopping JDOService ... done
INFO   | jvm 1    | 2026.02.27 08:40:12 | Stopping SqlService ... done
INFO   | jvm 1    | 2026.02.27 08:40:12 | Stopping DatabaseService ... done
INFO   | jvm 1    | 2026.02.27 08:40:12 | Stopping LogService ... 
INFO   | jvm 1    | 2026.02.27 08:40:12 | FileLogManager(internal, without active stream 0): 12:01:58 NORMAL   SYSTEM:LOG:LOGSERVICE:FILELOGMANAGER[kafkalibrarylog] stopped
INFO   | jvm 1    | 2026.02.27 08:40:12 | FileLogManager(internal, without active stream 0): 12:01:58 NORMAL   SYSTEM:LOG:LOGSERVICE:FILELOGMANAGER[kafkalog] stopped
INFO   | jvm 1    | 2026.02.27 08:40:12 | FileLogManager(internal, without active stream 0): 12:01:58 NORMAL   SYSTEM:LOG:LOGSERVICE:FILELOGMANAGER[oftplog] stopped
INFO   | jvm 1    | 2026.02.27 08:40:12 | FileLogManager(internal, without active stream 0): 12:01:58 NORMAL   SYSTEM:LOG:LOGSERVICE:FILELOGMANAGER[sshlog] stopped
INFO   | jvm 1    | 2026.02.27 08:40:12 | FileLogManager(internal, without active stream 0): 12:01:58 NORMAL   SYSTEM:LOG:LOGSERVICE:FILELOGMANAGER[tcplog] stopped
INFO   | jvm 1    | 2026.02.27 08:40:12 | FileLogManager(internal, without active stream 0): 12:01:58 NORMAL   SYSTEM:LOG:LOGSERVICE:FILELOGMANAGER[transportmanagerlog] stopped
INFO   | jvm 1    | 2026.02.27 08:40:13 | FileLogManager(internal, without active stream 0): 12:01:58 NORMAL   SYSTEM:LOG:LOGSERVICE:FILELOGMANAGER[webmonclientlog] stopped
INFO   | jvm 1    | 2026.02.27 08:40:13 | done
INFO   | jvm 1    | 2026.02.27 08:40:14 | Mon Feb 16 12:02:00 CET 2026, server process STOPPED
INFO   | jvm 1    | 2026.02.27 08:40:14 | Temp. directoy cleaned up
STATUS | wrapper  | 2026.02.27 08:40:15 | <-- Wrapper Stopped

